match_id,innings_number,over,ball_of_over,legal_ball_of_over,facing_batter_id,facing_batter_name,facing_batter_number,facing_batter_balls_faced,non_facing_batter_id,non_facing_batter_name,non_facing_batter_number,non_facing_batter_balls_faced,bowler_id,bowler_name,bowler_balls_bowled,runs_off_bat,no_ball_penalty_runs,runs_wide,runs_bye,runs_leg_bye,total_balls_so_far,total_runs_so_far,total_wickets_so_far,wicket_number,wicket_type,out_batter_id,out_batter_name,calculated_runs,run_difference
1459550,2,16,3,3,470501,Graham Clark,3,28,269237.0,Mohammad Mithun,4.0,16,976429,Farmanullah,21,0,0.0,0.0,0.0,0.0,95,137,2,,,,,0.0,4.0
1459550,2,16,4,4,470501,Graham Clark,3,29,269237.0,Mohammad Mithun,4.0,16,976429,Farmanullah,22,1,0.0,0.0,0.0,0.0,96,138,2,,,,,1.0,4.0
1459550,2,16,5,5,269237,Mohammad Mithun,4,17,470501.0,Graham Clark,3.0,29,976429,Farmanullah,23,1,0.0,0.0,0.0,0.0,97,139,2,,,,,1.0,4.0
1459550,2,16,6,6,470501,Graham Clark,3,30,269237.0,Mohammad Mithun,4.0,17,976429,Farmanullah,24,2,0.0,0.0,0.0,0.0,98,141,2,,,,,2.0,4.0
1459550,2,18,1,1,1161044,Shamim Hossain,5,3,269237.0,Mohammad Mithun,4.0,19,330902,Mustafizur Rahman,19,0,0.0,0.0,0.0,0.0,105,145,3,,,,,0.0,8.0
1459550,2,18,2,2,1161044,Shamim Hossain,5,4,269237.0,Mohammad Mithun,4.0,19,330902,Mustafizur Rahman,20,4,0.0,0.0,0.0,0.0,106,149,3,,,,,4.0,8.0
1459550,2,18,3,3,1161044,Shamim Hossain,5,5,269237.0,Mohammad Mithun,4.0,19,330902,Mustafizur Rahman,21,0,0.0,0.0,0.0,0.0,107,149,3,,,,,0.0,8.0
1459550,2,18,4,4,1161044,Shamim Hossain,5,6,269237.0,Mohammad Mithun,4.0,19,330902,Mustafizur Rahman,22,4,0.0,0.0,0.0,0.0,108,153,3,,,,,4.0,8.0
1459550,2,18,5,5,1161044,Shamim Hossain,5,7,269237.0,Mohammad Mithun,4.0,19,330902,Mustafizur Rahman,23,1,0.0,0.0,0.0,0.0,109,154,3,,,,,1.0,8.0
1459550,2,18,6,6,269237,Mohammad Mithun,4,20,1161044.0,Shamim Hossain,5.0,7,330902,Mustafizur Rahman,24,1,0.0,0.0,0.0,0.0,110,155,3,,,,,1.0,8.0
1459550,2,20,1,1,1161044,Shamim Hossain,5,13,269237.0,Mohammad Mithun,4.0,21,990165,Mukidul Islam,19,2,0.0,0.0,0.0,0.0,117,175,3,,,,,2.0,26.0
1459550,2,20,2,2,1161044,Shamim Hossain,5,14,269237.0,Mohammad Mithun,4.0,21,990165,Mukidul Islam,20,1,0.0,0.0,0.0,0.0,118,176,3,,,,,1.0,26.0
1459550,2,20,3,3,269237,Mohammad Mithun,4,22,1161044.0,Shamim Hossain,5.0,14,990165,Mukidul Islam,21,4,0.0,0.0,0.0,0.0,119,180,3,,,,,4.0,26.0
