match_id,innings_number,over,ball_count
1459548,1,12,5
1459548,1,13,2
1459548,1,14,1
1459548,1,19,2
1459548,2,11,4
1459550,2,20,3
1462192,2,20,5
1466426,1,50,3
1466426,2,49,1
1475258,1,12,3
